country,country_code,Year,Inflation_Rate,region,country_display
Kenya,KEN,2021,6.10793603659176,Africa,Kenya
"Korea, Rep.",KOR,2021,2.49833333333339,Emerging Markets,South Korea
Nigeria,NGA,2021,16.9528457221608,Africa,Nigeria
Pakistan,PAK,2021,9.49641577285205,Emerging Markets,Pakistan
Turkiye,TUR,2021,19.5964926913324,Emerging Markets,Turkey
United States,USA,2021,4.69785886363742,Developed,USA
South Africa,ZAF,2021,4.61874544887136,Africa,South Africa
Zimbabwe,ZWE,2021,98.5461050920624,Special Cases,Zimbabwe
Brazil,BRA,2022,9.28010608956872,Emerging Markets,Brazil
Germany,DEU,2022,6.87257438551096,Developed,Germany
"Egypt, Arab Rep.",EGY,2022,13.8956609775177,Africa,Egypt
Ethiopia,ETH,2022,33.8898797100898,Special Cases,Ethiopia
France,FRA,2022,5.22236748369725,Developed,France
Ghana,GHA,2022,31.2558951049016,Africa,Ghana
India,IND,2022,6.69903414079852,Emerging Markets,India
Japan,JPN,2022,2.49770278172255,Special Cases,Japan
Kenya,KEN,2022,7.65986268272224,Africa,Kenya
"Korea, Rep.",KOR,2022,5.08951365062842,Emerging Markets,South Korea
Nigeria,NGA,2022,18.8471877843274,Africa,Nigeria
Pakistan,PAK,2022,19.8738599646655,Emerging Markets,Pakistan
Turkiye,TUR,2022,72.3088359891207,Emerging Markets,Turkey
United States,USA,2022,8.00279982052121,Developed,USA
South Africa,ZAF,2022,7.03987272546482,Africa,South Africa
Zimbabwe,ZWE,2022,104.705170628667,Special Cases,Zimbabwe
Brazil,BRA,2023,4.59356282283203,Emerging Markets,Brazil
Germany,DEU,2023,5.94643667725823,Developed,Germany
"Egypt, Arab Rep.",EGY,2023,33.8847763115546,Africa,Egypt
Ethiopia,ETH,2023,30.2188278135278,Special Cases,Ethiopia
France,FRA,2023,4.8783572650844,Developed,France
Ghana,GHA,2023,38.1069656296501,Africa,Ghana
India,IND,2023,5.64914318907925,Emerging Markets,India
Japan,JPN,2023,3.26813365933163,Special Cases,Japan
Kenya,KEN,2023,7.67139634029402,Africa,Kenya
"Korea, Rep.",KOR,2023,3.5974562502901,Emerging Markets,South Korea
Nigeria,NGA,2023,24.659550203114,Africa,Nigeria
Pakistan,PAK,2023,30.7681280657005,Emerging Markets,Pakistan
Turkiye,TUR,2023,53.8594087593315,Emerging Markets,Turkey
United States,USA,2023,4.11633838374488,Developed,USA
South Africa,ZAF,2023,6.0752438457966,Africa,South Africa
Zimbabwe,ZWE,2023,,Special Cases,Zimbabwe
Brazil,BRA,2024,4.36746407652336,Emerging Markets,Brazil
Germany,DEU,2024,2.2564981433876,Developed,Germany
"Egypt, Arab Rep.",EGY,2024,28.2705899322082,Africa,Egypt
Ethiopia,ETH,2024,21.037746057771,Special Cases,Ethiopia
France,FRA,2024,1.99904942291462,Developed,France
Ghana,GHA,2024,22.8483281157842,Africa,Ghana
India,IND,2024,4.95303550973656,Emerging Markets,India
Japan,JPN,2024,2.73853681635241,Special Cases,Japan
Kenya,KEN,2024,4.48978854243448,Africa,Kenya
"Korea, Rep.",KOR,2024,2.32174328643542,Emerging Markets,South Korea
Nigeria,NGA,2024,33.2420966545406,Africa,Nigeria
Pakistan,PAK,2024,12.6325318530452,Emerging Markets,Pakistan
Turkiye,TUR,2024,58.5064507300342,Emerging Markets,Turkey
United States,USA,2024,2.94952520485207,Developed,USA
South Africa,ZAF,2024,4.36115246518962,Africa,South Africa
Zimbabwe,ZWE,2024,,Special Cases,Zimbabwe
